id,residual,lat,lon
33004488,1.2198847109845516,22.3129647,114.1707203
33476500,0.9382622644273297,22.3058563,114.1668472
274243016,-2.1402069922912332,22.3248867,114.1623076
288991796,-1.0643841075656724,22.318712,114.1660608
303886708,0.7832099223595748,22.3077185,114.1713444
308473171,-1.1443720773363424,22.3149736,114.1680169
308473182,-2.0331299975326225,22.3172,114.1680551
308473185,-0.44454357459751037,22.3173955,114.1690783
308473189,-2.1938683608549887,22.318917,114.1672039
308473419,-0.05526227322476984,22.3153655,114.1702382
308473546,-1.8882127388611885,22.3223275,114.1705175
308778506,2.6226362335765785,22.3069957,114.1687852
308778508,-0.4723455977765383,22.3063771,114.1686107
308778518,0.2697840747481024,22.3080225,114.1699187
308778524,1.3461981325216499,22.307219,114.1662663
331258764,0.4746912667874241,22.3228834,114.1646009
332227469,-0.1454785533827163,22.3194107,114.1623842
332228053,-0.6619558319172221,22.3175839,114.1607523
332230895,-0.5123577895548905,22.3194603,114.1619805
332232293,-0.7156665264850623,22.3189594,114.1628379
332232732,-0.8084765786084027,22.3170867,114.1635571
332239185,-2.137204990449387,22.326463,114.167154
332242753,-0.7160296455320818,22.3226105,114.1664288
332245892,2.6951335059843764,22.30883,114.166445
332248700,0.7818467662251081,22.3131619,114.1667883
332253631,-1.5699772147798434,22.3158391,114.1688016
334648626,2.6191483939661495,22.3122232,114.1663581
334648727,1.3507178035490917,22.3110543,114.1607421
334649071,4.734509571399137,22.3072176,114.1637627
339050813,-1.180065325943854,22.3104228,114.1606471
339050906,0.19330356990636233,22.3119596,114.1645241
384377131,1.7571357795810556,22.3038526,114.1813708
384377583,2.0128648512652525,22.3010791,114.1865846
384383004,1.8904218634191032,22.3011169,114.1861481
384384346,1.5908264865877264,22.3011596,114.1851372
384385470,0.5880938951789609,22.3009819,114.1841271
441535437,2.8463045144466292,22.2945935,114.1711524
452737038,-1.9986108833887677,22.2997894,114.1800526
506470908,-2.8650163663212,22.3074138,114.1611593
582593236,-0.6841586561835342,22.3067338,114.1806577
582596633,6.0072877432189244,22.3090772,114.1789901
582596651,3.543889230541076,22.3066487,114.1812076
675764066,1.3211335171384562,22.3055281,114.1782949
710347239,-0.13698022885477457,22.3029954,114.1770238
759630064,-2.731711742897062,22.2954061,114.1752039
990120213,-0.41679230846331805,22.3028986,114.1771985
991294805,0.4066896846771364,22.2995765,114.1758732
991295033,1.2173190693543674,22.3112265,114.1697451
991295126,1.0124843478643086,22.3107915,114.1703012
992815753,-2.0579074876561805,22.3197841,114.1716018
1107287994,-1.8096504274359724,22.3180242,114.1726054
1107287995,0.4335103471827111,22.3177122,114.1735613
1151084846,1.0139683216394353,22.3141895,114.1721629
1151084883,-1.4248268113649125,22.3229998,114.1685573
1151084917,2.1850478410762015,22.3131762,114.1713307
