filename,h_mean,h_std,s_mean,s_std,v_mean,v_std,entropy,colorfulness
10211498591_0.jpg,42.916015625,35.34442344826664,78.6767529296875,52.863217174908435,158.7393505859375,72.12879800962051,7.8157954,37.139404019669676
10211498591_180.jpg,52.4841455078125,56.71532451434877,39.65851806640625,36.20797852596421,129.9801416015625,60.17531293881767,7.777701,18.505302580970987
10211498591_270.jpg,81.22359375,39.839819548477784,64.28173828125,52.653141956733016,109.07667236328125,62.49013178157956,7.6463466,21.802759911357498
10211498591_90.jpg,39.94610595703125,41.47797482670895,51.88241943359375,40.16311147004095,159.82912841796875,65.60890181771582,7.7998643,28.513812091011538
10242398454_0.jpg,23.23000244140625,14.845040133079074,64.17987548828125,44.06436804311602,149.3499755859375,62.93349724656177,7.705237,23.463900364000487
10242398454_180.jpg,23.12130859375,20.37505706104175,52.029375,39.49053259267499,135.89699951171875,59.303854239971784,7.728897,21.371535186285424
10242398454_270.jpg,23.627763671875,17.890242345220244,49.8446826171875,27.499812011908073,134.50334716796874,53.15407314332697,7.656542,18.74596346089585
10242398454_90.jpg,21.83296142578125,14.36274157928481,56.02945556640625,38.47501172695259,163.90200927734375,48.04861800563952,7.506582,24.043782190735456
10243968793_0.jpg,43.80451416015625,35.224157548939544,53.00353515625,39.99492957612934,157.78789306640624,54.240453314711885,7.6509056,27.3610101691416
10243968793_180.jpg,61.05604248046875,42.90182750289361,52.159443359375,28.244034866667445,184.08126953125,53.586985786232795,7.50047,32.17984251046147
10243968793_270.jpg,51.3669287109375,40.374325072251544,51.861474609375,34.423568957600146,156.27164794921876,55.90666812543723,7.5477715,31.673441766060712
10243968793_90.jpg,70.52420166015625,48.97093530962992,41.18818115234375,31.620617524014236,173.54460693359374,66.71850056647455,7.4626136,30.838823643718477
10256441404_0.jpg,66.37489501953125,55.353132084430065,44.51656982421875,51.34091044958677,112.23212646484374,46.70961132002278,7.4531446,25.338740528303845
10256441404_180.jpg,57.40444091796875,65.4287559769878,54.8412060546875,45.82580227993962,130.170107421875,41.85024290303639,7.2420774,28.89593341089886
10256441404_270.jpg,55.32163330078125,51.260353915699774,29.47593505859375,33.91706051710234,129.42603759765626,46.28810854262317,7.3893404,18.885577734677305
10256441404_90.jpg,75.20375244140625,61.17608854486899,37.64314697265625,49.217487058785515,142.07162109375,53.951202880880516,7.4591813,28.977117625071237
1029866980_0.jpg,38.2005859375,39.53401570918616,43.45899169921875,36.792949206172885,130.60203125,46.67607158876977,7.448131,20.132977371747888
1029866980_180.jpg,53.95431396484375,49.20490757918395,42.44828125,41.498860006167924,122.35386474609375,60.32656666398419,7.484261,16.980298726866508
