id,vegetation,sky,building,road,shadow_ratio,sky_brightness,h_mean,h_std,s_mean,s_std,v_mean,v_std,entropy,colorfulness,LST,lat,lon,block_id,poi_density
30747332,0.0154547119140625,0.3019219970703125,0.5919775390625,0.090645751953125,0.531361083984375,176.69413512323945,57.66858825683594,44.88428810983359,48.07273376464843,42.79626678031585,182.88290283203125,55.47291439991835,7.408317225,45.65159465051483,33.411037610000015,22.2947802,114.1723211,4,19
33004487,0.054598388671875,0.1702130126953125,0.6917156982421875,0.083472900390625,0.4108251953125,145.37296251467137,57.21740417480469,48.64672309186256,53.332568359375,41.78769739195469,155.7112957763672,65.51293675647,7.7025515,34.8161933932093,33.09145274000002,22.310275,114.1710946,3,38
33004488,0.0083770751953125,0.1437432861328125,0.771485595703125,0.0763940429687499,0.429268798828125,151.09111649061035,47.90309326171875,48.06613447751511,49.42916015625,38.996530008219736,163.2836492919922,60.09873515205536,7.68324265,34.55368571910265,32.664769910000025,22.3129647,114.1707203,3,50
33004534,0.0260955810546874,0.21569091796875,0.3696490478515625,0.388564453125,0.6236303710937501,183.247870818662,76.63754638671875,44.03956582557012,40.2774072265625,43.17425693518301,142.99912292480468,64.25648164437447,7.536873475,32.24536588929989,30.722195210000024,22.3014436,114.1679667,4,13
33004677,0.0122052001953125,0.3036444091796875,0.584605712890625,0.099544677734375,0.531707763671875,165.42348701584507,55.05269470214844,42.51959866772994,60.16414489746094,38.9558995988717,153.83013732910155,58.48297634482173,7.4662359,33.1123140818264,29.53557260000004,22.2977677,114.1784272,2,20
33476495,0.018592529296875,0.21517333984375,0.6938342285156249,0.07239990234375,0.383636474609375,153.30079775528168,54.18192016601563,47.85771459388008,52.38373474121094,44.83043141311856,163.0296203613281,64.01726112050758,7.655923275,44.23073874796258,28.776202490000014,22.3030232,114.1679567,4,7
33476500,0.019979248046875,0.2090447998046875,0.4702679443359375,0.3007080078125,0.587724609375,144.73813637030517,62.86053771972656,41.98963916187735,45.87212951660156,44.30504388532643,131.64842041015623,59.76974326356408,7.5392184,28.427237008972124,32.299611440000035,22.3058563,114.1668472,1,9
33476501,0.0391583251953125,0.1532183837890625,0.4167535400390625,0.3908697509765625,0.637210693359375,136.61919380868545,82.70559020996095,50.59359708247753,35.18322998046875,42.93665355929394,118.11017761230468,54.59456022456465,7.51383985,15.521559767343192,32.87896583000003,22.3065045,114.1670616,1,32
33476508,0.059290771484375,0.2234698486328125,0.4081500244140624,0.30908935546875,0.6543408203125,174.04893632629108,69.696689453125,40.13812052849879,47.01750061035156,55.71897360631175,130.602626953125,72.63638402153352,7.727540175,34.205267514179155,28.506178910000028,22.2954779,114.1753023,4,18
33476510,0.0244976806640625,0.2263336181640625,0.66966796875,0.079500732421875,0.3428765869140625,162.7691736355634,56.71666870117188,42.58197123899497,48.15789855957031,35.36495560953241,158.18566162109374,59.859539297050745,7.487375175,27.11309901073848,29.127688880000026,22.2952697,114.1748954,4,22
274243016,0.0568017578125,0.0995977783203125,0.6207220458984375,0.22287841796875,0.6908245849609375,127.4845088761737,42.83982299804688,40.73126449802397,54.589663696289065,42.98998995116798,114.11466735839844,54.54609708749254,7.32647895,21.77586399877844,29.732108750000027,22.3248867,114.1623076,0,15
275945418,0.0090856933593749,0.0623291015625,0.6912664794921874,0.2373187255859375,0.6146405029296875,122.00452244718308,37.851716918945314,40.02407976431945,55.56720886230469,49.84491275960954,109.12330078125,50.12753876912743,7.504589324999999,25.202135796069022,30.755805740000028,22.3156488,114.1718679,3,39
276372740,0.0094616699218749,0.1224145507812499,0.711241455078125,0.1568823242187499,0.4528399658203125,102.95215852406103,56.59011413574218,47.58252178342016,48.251025390625,45.29366345929432,118.37262634277344,61.04400664607958,7.643227025,20.76215232769981,33.78986816000002,22.3088662,114.1701439,3,31
276372857,0.0351690673828125,0.1999310302734375,0.429345703125,0.33555419921875,0.6742742919921875,169.7911825117371,83.59700927734374,46.809907259696814,40.02025329589844,45.36262260932407,137.71508117675782,62.4216501230608,7.59284,24.287052549393675,35.51198057000002,22.312658,114.1689849,3,14
276373355,0.0062689208984375,0.1215087890625,0.7550579833984375,0.117164306640625,0.574222412109375,138.09544454225352,61.43932189941406,48.37519529379411,46.38299377441406,34.561246276182736,141.6988671875,60.25697105411059,7.64533695,23.94875520331998,32.85731837000002,22.3128531,114.1701052,3,44
276374341,0.0386297607421875,0.0906689453125,0.74845947265625,0.1222418212890625,0.425146484375,111.8983164612676,56.51110900878906,50.82326433224559,66.15372253417968,59.17099638477817,114.64466430664062,61.85001972043135,7.627047024999999,30.48758955939144,32.30872616000002,22.3067981,114.1696157,1,96
278948068,0.0119671630859375,0.07294677734375,0.680009765625,0.2350762939453125,0.6819476318359375,133.7282001907277,43.03065490722656,42.87540500798657,50.74674255371094,38.06588519183614,132.43260559082032,56.17632087981899,7.489020375,24.66493096061716,36.51630878000001,22.3122444,114.1670005,3,7
278949226,0.029808349609375,0.177110595703125,0.4761846923828124,0.3168963623046875,0.5488592529296875,175.92766651995305,53.13345581054688,41.8983096705142,30.384291381835936,34.602219107841954,140.8776092529297,52.029340746454125,7.384507575,18.28490701806845,30.45103229000002,22.3075206,114.1616453,1,3
278949231,0.0184283447265625,0.2369903564453125,0.3119177246093749,0.43266357421875,0.601414794921875,143.3486318955399,77.09660400390625,41.16590227286446,36.5893505859375,38.91218578337454,125.91878723144532,52.772154425201215,7.263613899999999,23.76540354578937,33.10968218000002,22.3068109,114.1628465,1,4
278950460,0.040999755859375,0.0151239013671875,0.5759033203125,0.3679730224609375,0.2961846923828125,119.06186546361502,55.18597473144531,27.53929277237264,29.70048095703125,26.621279079780408,118.82158203125,41.17712853946442,7.182838175,12.0053042348583,31.833051710000017,22.3032513,114.1594149,1,3
278950461,0.0522418212890625,0.1129473876953125,0.57498291015625,0.2598278808593749,0.5780657958984374,143.89138240903756,55.1702197265625,45.63314448701827,26.041589965820314,28.76053330966652,133.1606555175781,53.68822368510426,7.49373535,14.486767619397916,32.092821230000006,22.3030064,114.1596727,1,4
278951217,0.0365936279296875,0.3085748291015625,0.3657360839843749,0.289095458984375,0.6197772216796875,207.49675946302816,51.851944580078126,37.22459037033782,38.11899658203125,35.83952705589762,153.96701599121093,60.87316887253532,7.4677958,18.666936061108995,28.35122867000003,22.3076826,114.1606837,1,0
288991682,0.015467529296875,0.3397784423828125,0.5840826416015625,0.06067138671875,0.278031005859375,180.3062775088028,63.48715759277344,43.49231479571775,51.28599975585938,37.14404407887359,175.74516967773437,54.96023954443849,7.31567315,33.62450499252924,35.85378257000002,22.3111074,114.1660558,1,6
288991776,0.11223388671875,0.171727294921875,0.3893597412109374,0.3266790771484375,0.603829345703125,151.43152508802814,59.731019287109376,39.34102425706647,48.25714538574219,55.99205629597771,118.12514038085938,62.86620640602631,7.54350815,16.54453452815074,29.66887538000003,22.3180822,114.1634229,0,12
288991796,0.0334332275390625,0.157645263671875,0.4449395751953124,0.36398193359375,0.7273626708984375,155.9103671508216,48.61205810546875,43.280843335483375,35.72577514648438,37.46054272161204,130.60220397949217,57.60192855829065,7.440241825,20.30952929571889,30.208352870000017,22.318712,114.1660608,0,13
288991859,0.045029296875,0.10662353515625,0.5022308349609375,0.3461163330078124,0.4746710205078125,132.01108054577463,69.18594604492188,46.64954094811244,37.35134094238281,44.59885840019274,124.82571411132812,56.602111718130885,7.591974,19.11153158759189,28.981283690000023,22.318719,114.1638166,0,16
288991961,0.0732733154296875,0.0747247314453125,0.541732177734375,0.310269775390625,0.498763427734375,140.8400968309859,46.846730957031255,38.160986828699066,32.700919189453124,39.13277225694444,129.82513793945313,49.77065906711076,7.477671825,15.333216601033694,29.94516533000002,22.3188051,114.1630542,0,13
288995089,0.0715997314453125,0.2564373779296874,0.3969927978515625,0.2749700927734375,0.6985369873046875,198.8008527728873,45.77482849121094,34.93121655073478,30.91308715820313,31.24090845248325,155.18412109375,60.01751770620129,7.317421299999999,12.639725660711107,30.34564334000002,22.3211585,114.1576938,0,2
288995381,0.1017407226562499,0.1766906738281249,0.4280755615234375,0.2934930419921875,0.5882489013671874,144.63993911384978,49.17547180175781,35.786890391364125,57.88464233398437,51.53709294447903,130.04935119628905,58.18275231660307,7.6317939,24.457737700836688,26.87293502000001,22.317492,114.1566572,0,6
288996505,0.037755126953125,0.1996343994140625,0.3922296142578124,0.370380859375,0.5877130126953125,173.5358146273474,50.90162109375,39.38162072851128,33.84863952636719,33.995566506644906,137.1219659423828,54.75415790214039,7.40746385,17.16026800000226,28.90039055000001,22.3232124,114.1550476,0,3
303886708,0.0298785400390625,0.121884765625,0.7516717529296875,0.09656494140625,0.476243896484375,104.01980633802816,53.98484436035156,45.22722111346937,54.70226989746094,46.36667355940097,120.3359228515625,62.08941244609538,7.68942285,21.620937959646195,32.544569540000005,22.3077185,114.1713444,3,46
308473171,0.0162823486328125,0.1328472900390625,0.6772692871093751,0.1736010742187499,0.4772344970703125,162.32921801643192,49.62057495117188,46.69302023284628,38.743325805664064,35.48743568334881,154.60990356445313,66.15065819397935,7.750638074999999,23.75843584234381,31.267369400000035,22.3149736,114.1680169,3,17
