id,lat,lon,heading,filename
5120437766,22.2957699,114.1757915,0,5120437766_0.jpg
5120437766,22.2957699,114.1757915,90,5120437766_90.jpg
5120437766,22.2957699,114.1757915,180,5120437766_180.jpg
5120437766,22.2957699,114.1757915,270,5120437766_270.jpg
582593329,22.3070256,114.1805856,0,582593329_0.jpg
582593329,22.3070256,114.1805856,90,582593329_90.jpg
582593329,22.3070256,114.1805856,180,582593329_180.jpg
582593329,22.3070256,114.1805856,270,582593329_270.jpg
332231898,22.3183111,114.163129,0,332231898_0.jpg
332231898,22.3183111,114.163129,90,332231898_90.jpg
332231898,22.3183111,114.163129,180,332231898_180.jpg
332231898,22.3183111,114.163129,270,332231898_270.jpg
759630065,22.2987454,114.1757275,0,759630065_0.jpg
759630065,22.2987454,114.1757275,90,759630065_90.jpg
759630065,22.2987454,114.1757275,180,759630065_180.jpg
759630065,22.2987454,114.1757275,270,759630065_270.jpg
1640472893,22.3219477,114.1603595,0,1640472893_0.jpg
1640472893,22.3219477,114.1603595,90,1640472893_90.jpg
1640472893,22.3219477,114.1603595,180,1640472893_180.jpg
1640472893,22.3219477,114.1603595,270,1640472893_270.jpg
334647895,22.3146094,114.1609698,0,334647895_0.jpg
334647895,22.3146094,114.1609698,90,334647895_90.jpg
334647895,22.3146094,114.1609698,180,334647895_180.jpg
334647895,22.3146094,114.1609698,270,334647895_270.jpg
4860691742,22.3239824,114.1651046,0,4860691742_0.jpg
4860691742,22.3239824,114.1651046,90,4860691742_90.jpg
4860691742,22.3239824,114.1651046,180,4860691742_180.jpg
4860691742,22.3239824,114.1651046,270,4860691742_270.jpg
1185400607,22.3125698,114.1708012,0,1185400607_0.jpg
1185400607,22.3125698,114.1708012,90,1185400607_90.jpg
1185400607,22.3125698,114.1708012,180,1185400607_180.jpg
1185400607,22.3125698,114.1708012,270,1185400607_270.jpg
5123029555,22.3075342,114.1663535,0,5123029555_0.jpg
5123029555,22.3075342,114.1663535,90,5123029555_90.jpg
5123029555,22.3075342,114.1663535,180,5123029555_180.jpg
5123029555,22.3075342,114.1663535,270,5123029555_270.jpg
1189559662,22.296713,114.1750045,0,1189559662_0.jpg
1189559662,22.296713,114.1750045,90,1189559662_90.jpg
1189559662,22.296713,114.1750045,180,1189559662_180.jpg
