filename,vegetation,sky,road,building,sidewalk,wall,fence,pole,traffic light,traffic sign,terrain,person,rider,car,truck,bus,train,motorcycle,bicycle,shadow_ratio,sky_brightness,id,lat,lon,heading,LST
10211498591_0.jpg,0.151015625,0.1503125,0.05771728515625,0.6409545898437501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974072265625,130.68164612676057,10211498591,22.3181583,114.1733317,0,30.906198620000016
10211498591_180.jpg,0.00125244140625,0.04438232421875,0.19479736328125,0.75956787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057177734375,134.96605780516433,10211498591,22.3181583,114.1733317,180,30.906198620000016
10211498591_270.jpg,0.05524658203125,0.10580078125,0.143095703125,0.69585693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67649169921875,125.2459580399061,10211498591,22.3181583,114.1733317,270,30.906198620000016
10211498591_90.jpg,0.0684814453125,0.15533447265625,0.13900634765625,0.637177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471162109375,169.27843309859156,10211498591,22.3181583,114.1733317,90,30.906198620000016
10242398454_0.jpg,0.0181591796875,0.0733740234375,0.060908203125,0.84755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30722412109375,154.74506308685446,10242398454,22.2946597,114.1728201,0,32.201628200000016
10242398454_180.jpg,0.00354248046875,0.0566650390625,0.08508544921875,0.85470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39494384765625,123.12411238262912,10242398454,22.2946597,114.1728201,180,32.201628200000016
10242398454_270.jpg,0.00371826171875,0.0627978515625,0.09735107421875,0.8361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45593017578125,129.34134389671362,10242398454,22.2946597,114.1728201,270,32.201628200000016
10242398454_90.jpg,0.0168505859375,0.13748779296875,0.0300048828125,0.8156567382812501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252080078125,178.48174882629107,10242398454,22.2946597,114.1728201,90,32.201628200000016
10243968793_0.jpg,0.05018310546875,0.17705322265625,0.09757080078125,0.67519287109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3403125,165.1420554577465,10243968793,22.2979288,114.178626,0,29.535572600000037
10243968793_180.jpg,0.00788330078125,0.3921337890625,0.11754150390625,0.48244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474140625,192.42236649061036,10243968793,22.2979288,114.178626,180,29.535572600000037
